"name","vals","nas","percent_na"
"Alkefjellet_NOS.4182652_2015",675,211,31.2592592592593
"Alkefjellet_NOS.4182652_2016",742,254,34.2318059299191
"Alkefjellet_NOS.4182653_2015",595,222,37.3109243697479
"Alkefjellet_NOS.4182653_2016",745,226,30.3355704697987
"Alkefjellet_NOS.4182653_2017",678,176,25.9587020648968
"Alkefjellet_NOS.4182653_2018",765,284,37.124183006536
"Alkefjellet_NOS.4182653_2019",607,81,13.3443163097199
"Alkefjellet_NOS.4182653_2020",415,56,13.4939759036145
"Alkefjellet_NOS.4182654_2015",779,360,46.2130937098845
"Alkefjellet_NOS.4182654_2016",627,280,44.6570972886762
"Alkefjellet_NOS.4182654_2017",774,340,43.9276485788114
"Alkefjellet_NOS.4182654_2018",581,198,34.07917383821
"Alkefjellet_NOS.4182655_2015",622,272,43.7299035369775
"Alkefjellet_NOS.4182655_2016",868,416,47.926267281106
"Alkefjellet_NOS.4182655_2017",864,495,57.2916666666667
"Alkefjellet_NOS.4182656_2016",780,448,57.4358974358974
"Alkefjellet_NOS.4182657_2016",759,430,56.6534914361001
"Alkefjellet_NOS.4182657_2018",938,512,54.5842217484009
"Alkefjellet_NOS.4182657_2019",598,175,29.2642140468227
"Alkefjellet_NOS.4182657_2020",744,396,53.2258064516129
"Alkefjellet_NOS.4182658_2016",570,202,35.4385964912281
"Alkefjellet_NOS.4182658_2017",768,393,51.171875
"Alkefjellet_NOS.4182658_2018",548,168,30.6569343065693
"Alkefjellet_NOS.4182658_2019",313,26,8.30670926517572
"Alkefjellet_NOS.4182659_2016",615,196,31.869918699187
"Alkefjellet_NOS.4182659_2018",531,145,27.3069679849341
"Alkefjellet_NOS.4182659_2019",458,76,16.5938864628821
"Alkefjellet_NOS.4182661_2016",739,306,41.4073071718539
"Alkefjellet_NOS.4182661_2017",1089,492,45.1790633608815
"Alkefjellet_NOS.4182661_2018",490,109,22.2448979591837
"Alkefjellet_NOS.4182661_2019",487,117,24.0246406570842
"Alkefjellet_NOS.4182661_2020",524,158,30.1526717557252
"Alkefjellet_NOS.4182662_2016",517,185,35.7833655705996
"Alkefjellet_NOS.4182662_2017",686,282,41.1078717201166
"Alkefjellet_NOS.4182663_2016",583,276,47.3413379073756
"Alkefjellet_NOS.4182663_2017",452,71,15.7079646017699
"Alkefjellet_NOS.4182663_2018",505,98,19.4059405940594
"Alkefjellet_NOS.4182664_2016",446,176,39.4618834080717
"Alkefjellet_NOS.4182664_2017",395,92,23.2911392405063
"Alkefjellet_NOS.4182664_2018",380,80,21.0526315789474
"Alkefjellet_NOS.4182664_2019",559,243,43.4704830053667
"Alkefjellet_NOS.4182664_2020",387,91,23.5142118863049
"Alkefjellet_NOS.4182665_2016",629,125,19.872813990461
"Alkefjellet_NOS.4182665_2017",466,118,25.3218884120172
"Alkefjellet_NOS.4182667_2018",607,163,26.8533772652389
"Alkefjellet_NOS.4182667_2019",906,425,46.9094922737307
"Alkefjellet_NOS.4186205_2020",483,128,26.5010351966874
"Bjørnøya_NOS.4181262_2014",417,70,16.7865707434053
"Bjørnøya_NOS.4181262_2015",389,75,19.280205655527
"Bjørnøya_NOS.4181268_2015",344,87,25.2906976744186
"Bjørnøya_NOS.4181271_2015",573,188,32.8097731239092
"Bjørnøya_NOS.4182521_2014",385,77,20
"Bjørnøya_NOS.4182523_2014",426,96,22.5352112676056
"Bjørnøya_NOS.4182523_2015",374,72,19.2513368983957
"Bjørnøya_NOS.4182523_2016",408,112,27.4509803921569
"Bjørnøya_NOS.4182525_2014",434,63,14.5161290322581
"Bjørnøya_NOS.4182526_2014",430,128,29.7674418604651
"Bjørnøya_NOS.4182526_2015",432,95,21.9907407407407
"Bjørnøya_NOS.4182526_2016",612,190,31.0457516339869
"Bjørnøya_NOS.4182528_2014",489,114,23.3128834355828
"Bjørnøya_NOS.4182528_2015",455,88,19.3406593406593
"Bjørnøya_NOS.4182528_2016",456,88,19.2982456140351
"Bjørnøya_NOS.4182531_2014",367,95,25.8855585831063
"Bjørnøya_NOS.4182531_2015",468,147,31.4102564102564
"Bjørnøya_NOS.4182531_2016",483,146,30.2277432712215
"Bjørnøya_NOS.4182533_2014",357,77,21.5686274509804
"Bjørnøya_NOS.4182533_2015",434,96,22.1198156682028
"Bjørnøya_NOS.4182533_2016",555,160,28.8288288288288
"Bjørnøya_NOS.4182533_2017",372,54,14.5161290322581
"Bjørnøya_NOS.4182533_2018",369,29,7.85907859078591
"Bjørnøya_NOS.4182534_2014",729,249,34.156378600823
"Bjørnøya_NOS.4182534_2015",698,239,34.2406876790831
"Bjørnøya_NOS.4182534_2016",528,159,30.1136363636364
"Bjørnøya_NOS.4182534_2018",492,144,29.2682926829268
"Bjørnøya_NOS.4182535_2014",366,61,16.6666666666667
"Bjørnøya_NOS.4182535_2015",307,61,19.8697068403909
"Bjørnøya_NOS.4182537_2014",361,41,11.3573407202216
"Bjørnøya_NOS.4182537_2015",439,110,25.0569476082005
"Bjørnøya_NOS.4182537_2016",358,88,24.5810055865922
"Bjørnøya_NOS.4182537_2017",436,81,18.5779816513761
"Bjørnøya_NOS.4182538_2014",356,62,17.4157303370787
"Bjørnøya_NOS.4182538_2015",554,224,40.4332129963899
"Bjørnøya_NOS.4182539_2014",517,155,29.9806576402321
"Bjørnøya_NOS.4182539_2015",573,224,39.0924956369983
"Bjørnøya_NOS.4182539_2016",569,262,46.0456942003515
"Bjørnøya_NOS.4182541_2014",348,75,21.551724137931
"Bjørnøya_NOS.4182541_2015",294,50,17.0068027210884
