"","Colony","pers","median_intra_ind_variance_pers","variance_pers","percent_nas","udoi","ba","final_score"
"1","Combined",23.7217,0.3407535095,1.00108911927318,2.96010296010296,0.401329711740427,0.753301919702885,0.523669080345495
"2","Eynhallow",26.95595,0.137987763333333,0.861711025536901,1.9472818499974,0.429616378758457,0.770691194411346,0.551694528111076
"3","Faroe.Islands",25.531,0.11353114,2.17085165507035,1.09815583361336,0.463124508776549,0.776223101284303,0.580124477692988
"4","Inishkea",27.184225,0.2099794625,0.456630837291667,1.92940135329541,0.640775954116977,0.906758689298692,0.750909411639147
"5","Isle.of.Canna",26.44715,0.00255084250000002,1.02753914745536,2.18858954041204,0.507729700550719,0.80015139397841,0.621250095837134
"6","Jan.Mayen",25.3468,0.310235645000001,0.882426903089225,9.6989966555184,0.416389756298119,0.766516574789502,0.53963638774612
"7","Jarsteinen",27.56865,0.116306645000001,2.68779690007143,2.62008733624454,0.510889105061319,0.81660134691861,0.628543475694127
"8","Little.Saltee",28.9233,0.401318405000001,1.41250749407006,4.41749464250925,0.692690521869198,0.914755206699428,0.788384018507958
